n,nsteps,force_block,openmp,cuda_graphs,runs,avg_time_s,min_time_s,max_time_s,avg_change,status
10000,5000,64,0,0,5,0.389,0.369,0.443,0.0009994,ok
10000,5000,64,0,1,5,0.3874,0.368,0.432,0.000984,ok
10000,5000,64,1,0,5,0.368,0.366,0.370,0.0009794,ok
10000,5000,64,1,1,5,0.3836,0.367,0.406,0.000985,ok
10000,5000,128,0,0,5,0.359,0.357,0.363,0.0009864,ok
10000,5000,128,0,1,5,0.3894,0.364,0.444,0.000988,ok
10000,5000,128,1,0,5,0.3632,0.362,0.364,0.0009918,ok
10000,5000,128,1,1,5,0.3906,0.372,0.442,0.000985,ok
10000,5000,256,0,0,5,0.348,0.318,0.361,0.0009914,ok
10000,5000,256,0,1,5,0.3848,0.369,0.425,0.0009858,ok
10000,5000,256,1,0,5,0.3654,0.362,0.367,0.0009854,ok
10000,5000,256,1,1,5,0.3948,0.373,0.439,0.0009778,ok
10000,5000,512,0,0,5,0.393,0.377,0.424,0.0009886,ok
10000,5000,512,0,1,5,0.3896,0.382,0.395,0.0009836,ok
10000,5000,512,1,0,5,0.3962,0.378,0.434,0.0009748,ok
10000,5000,512,1,1,5,0.3948,0.388,0.403,0.0009914,ok
10000,5000,1024,0,0,5,0.4374,0.415,0.509,0.0009822,ok
10000,5000,1024,0,1,5,0.4446,0.421,0.491,0.0009806,ok
10000,5000,1024,1,0,5,0.4244,0.418,0.431,0.0009876,ok
10000,5000,1024,1,1,5,0.4458,0.420,0.510,0.0009714,ok
25000,5000,64,0,0,5,0.4424,0.439,0.448,0.0008352,ok
25000,5000,64,0,1,5,0.4258,0.422,0.432,0.000848,ok
25000,5000,64,1,0,5,0.4264,0.422,0.430,0.000844,ok
25000,5000,64,1,1,5,0.4138,0.389,0.436,0.0008336,ok
25000,5000,128,0,0,5,0.421,0.408,0.432,0.0008434,ok
25000,5000,128,0,1,5,0.4302,0.427,0.438,0.0008368,ok
25000,5000,128,1,0,5,0.425,0.422,0.428,0.0008454,ok
25000,5000,128,1,1,5,0.4314,0.425,0.443,0.0008398,ok
25000,5000,256,0,0,5,0.4246,0.420,0.429,0.0008368,ok
25000,5000,256,0,1,5,0.4272,0.421,0.431,0.0008438,ok
25000,5000,256,1,0,5,0.432,0.426,0.440,0.000834,ok
25000,5000,256,1,1,5,0.4446,0.433,0.452,0.0008394,ok
25000,5000,512,0,0,5,0.4396,0.430,0.450,0.0008438,ok
25000,5000,512,0,1,5,0.4424,0.434,0.451,0.0008422,ok
25000,5000,512,1,0,5,0.4206,0.404,0.439,0.0008444,ok
25000,5000,512,1,1,5,0.4278,0.416,0.437,0.0008418,ok
25000,5000,1024,0,0,5,0.4674,0.464,0.470,0.0008358,ok
25000,5000,1024,0,1,5,0.4766,0.466,0.487,0.0008404,ok
25000,5000,1024,1,0,5,0.4712,0.460,0.480,0.0008406,ok
25000,5000,1024,1,1,5,0.4864,0.475,0.498,0.000837,ok
49000,5000,64,0,0,5,0.55,0.538,0.558,9.54e-05,ok
49000,5000,64,0,1,5,0.5332,0.512,0.545,9.68e-05,ok
49000,5000,64,1,0,5,0.51,0.487,0.541,9.52e-05,ok
49000,5000,64,1,1,5,0.4848,0.466,0.501,9.7e-05,ok
49000,5000,128,0,0,5,0.5054,0.487,0.531,9.5e-05,ok
49000,5000,128,0,1,5,0.4904,0.464,0.537,9.52e-05,ok
49000,5000,128,1,0,5,0.4868,0.459,0.522,9.74e-05,ok
49000,5000,128,1,1,5,0.4964,0.453,0.535,9.68e-05,ok
49000,5000,256,0,0,5,0.5184,0.503,0.542,9.68e-05,ok
49000,5000,256,0,1,5,0.5376,0.520,0.545,9.7e-05,ok
