n,nsteps,force_block,openmp,cuda_graphs,runs,avg_time_s,min_time_s,max_time_s,avg_change,status
49000,5000,256,1,0,5,0.536,0.522,0.552,9.82e-05,ok
49000,5000,256,1,1,5,0.5338,0.506,0.557,9.74e-05,ok
49000,5000,512,0,0,5,0.546,0.516,0.566,9.72e-05,ok
49000,5000,512,0,1,5,0.5212,0.498,0.558,9.66e-05,ok
49000,5000,512,1,0,5,0.5046,0.494,0.527,9.68e-05,ok
49000,5000,512,1,1,5,0.532,0.512,0.551,9.64e-05,ok
49000,5000,1024,0,0,5,0.5254,0.496,0.564,9.76e-05,ok
49000,5000,1024,0,1,5,0.5584,0.550,0.567,9.52e-05,ok
49000,5000,1024,1,0,5,0.511,0.492,0.532,9.64e-05,ok
49000,5000,1024,1,1,5,0.5352,0.502,0.574,9.62e-05,ok
60000,5000,64,0,0,5,0.5214,0.513,0.538,0.0008392,ok
60000,5000,64,0,1,5,0.5076,0.492,0.522,0.0008386,ok
60000,5000,64,1,0,5,0.4898,0.485,0.496,0.0008438,ok
60000,5000,64,1,1,5,0.4852,0.482,0.487,0.0008418,ok
60000,5000,128,0,0,5,0.4856,0.482,0.493,0.0008428,ok
60000,5000,128,0,1,5,0.4872,0.486,0.489,0.0008394,ok
60000,5000,128,1,0,5,0.4818,0.479,0.485,0.0008434,ok
60000,5000,128,1,1,5,0.4838,0.478,0.489,0.0008394,ok
60000,5000,256,0,0,5,0.488,0.476,0.502,0.0008462,ok
60000,5000,256,0,1,5,0.5006,0.485,0.522,0.0008362,ok
60000,5000,256,1,0,5,0.5192,0.507,0.530,0.000842,ok
60000,5000,256,1,1,5,0.4882,0.479,0.515,0.0008422,ok
60000,5000,512,0,0,5,0.5376,0.519,0.575,0.0008418,ok
60000,5000,512,0,1,5,0.5012,0.491,0.507,0.0008376,ok
60000,5000,512,1,0,5,0.5136,0.506,0.524,0.0008418,ok
60000,5000,512,1,1,5,0.4968,0.486,0.514,0.000842,ok
60000,5000,1024,0,0,5,0.4942,0.490,0.498,0.0008418,ok
60000,5000,1024,0,1,5,0.5172,0.491,0.556,0.0008466,ok
60000,5000,1024,1,0,5,0.5016,0.489,0.514,0.0008378,ok
60000,5000,1024,1,1,5,0.509,0.501,0.513,0.0008422,ok
80000,5000,64,0,0,5,0.6104,0.599,0.619,0.0008426,ok
80000,5000,64,0,1,5,0.5716,0.568,0.575,0.0008454,ok
80000,5000,64,1,0,5,0.5742,0.571,0.579,0.0008464,ok
80000,5000,64,1,1,5,0.5764,0.575,0.577,0.0008486,ok
80000,5000,128,0,0,5,0.5744,0.567,0.579,0.0008438,ok
80000,5000,128,0,1,5,0.5704,0.567,0.574,0.0008424,ok
80000,5000,128,1,0,5,0.5714,0.568,0.576,0.000844,ok
80000,5000,128,1,1,5,0.5716,0.565,0.578,0.0008424,ok
80000,5000,256,0,0,5,0.5708,0.567,0.575,0.000846,ok
80000,5000,256,0,1,5,0.5708,0.567,0.580,0.0008436,ok
80000,5000,256,1,0,5,0.5812,0.573,0.593,0.0008436,ok
80000,5000,256,1,1,5,0.5784,0.571,0.584,0.000842,ok
80000,5000,512,0,0,5,0.624,0.594,0.661,0.000845,ok
80000,5000,512,0,1,5,0.5732,0.568,0.581,0.000845,ok
80000,5000,512,1,0,5,0.5728,0.566,0.582,0.0008452,ok
80000,5000,512,1,1,5,0.5702,0.564,0.576,0.0008442,ok
80000,5000,1024,0,0,5,0.5704,0.558,0.579,0.0008436,ok
80000,5000,1024,0,1,5,0.5784,0.569,0.597,0.0008462,ok
80000,5000,1024,1,0,5,0.5676,0.563,0.574,0.0008452,ok
80000,5000,1024,1,1,5,0.5756,0.568,0.586,0.0008446,ok
100000,5000,64,0,0,5,0.7198,0.701,0.757,0.0001424,ok
100000,5000,64,0,1,5,0.7094,0.701,0.730,0.000142,ok
100000,5000,64,1,0,5,0.7002,0.696,0.710,0.000142,ok
100000,5000,64,1,1,5,0.7004,0.697,0.703,0.0001428,ok
100000,5000,128,0,0,5,0.698,0.696,0.704,0.0001422,ok
100000,5000,128,0,1,5,0.6972,0.692,0.702,0.000142,ok
100000,5000,128,1,0,5,0.6958,0.692,0.699,0.0001426,ok
100000,5000,128,1,1,5,0.6964,0.693,0.703,0.0001422,ok
100000,5000,256,0,0,5,0.6974,0.695,0.700,0.0001418,ok
100000,5000,256,0,1,5,0.7006,0.696,0.707,0.0001428,ok
100000,5000,256,1,0,5,0.7062,0.693,0.713,0.0001428,ok
100000,5000,256,1,1,5,0.7122,0.702,0.727,0.0001426,ok
100000,5000,512,0,0,5,0.7292,0.718,0.744,0.000142,ok
100000,5000,512,0,1,5,0.7222,0.714,0.731,0.0001418,ok
100000,5000,512,1,0,5,0.714,0.709,0.717,0.0001414,ok
100000,5000,512,1,1,5,0.718,0.716,0.720,0.000143,ok
100000,5000,1024,0,0,5,0.7466,0.744,0.752,0.0001426,ok
100000,5000,1024,0,1,5,0.7536,0.744,0.766,0.0001422,ok
100000,5000,1024,1,0,5,0.7474,0.743,0.756,0.0001428,ok
100000,5000,1024,1,1,5,0.756,0.749,0.762,0.000141,ok
