n,nsteps,force_block,openmp,cuda_graphs,runs,avg_time_s,min_time_s,max_time_s,avg_change,status
10000,5000,256,0,1,10,0.2991,0.287,0.353,0.0002941,ok
50000,5000,256,0,1,10,0.4924,0.487,0.501,4.96e-05,ok
75000,5000,256,0,1,10,0.6451,0.589,0.702,0.0002657,ok
80000,5000,256,0,1,10,0.6064,0.598,0.625,0.0002656,ok
90000,5000,256,0,1,10,0.711,0.708,0.716,6.34e-05,ok
100000,5000,256,0,1,10,0.7803,0.747,0.851,6.8e-05,ok
