n,nsteps,force_block,openmp,cuda_graphs,runs,avg_time_s,min_time_s,max_time_s,avg_change,status
10000,5000,128,0,0,10,0.3747,0.363,0.420,0.0009833,ok
10000,5000,128,0,1,10,0.3836,0.365,0.445,0.0009933,ok
10000,5000,128,1,0,10,0.377,0.359,0.429,0.0009875,ok
10000,5000,128,1,1,10,0.3833,0.365,0.449,0.000987,ok
10000,5000,256,0,0,10,0.3709,0.357,0.417,0.0009814,ok
10000,5000,256,0,1,10,0.3804,0.364,0.449,0.0009929,ok
10000,5000,256,1,0,10,0.3766,0.365,0.422,0.0009888,ok
10000,5000,256,1,1,10,0.3824,0.368,0.432,0.0009788,ok
25000,5000,128,0,0,10,0.4276,0.418,0.434,0.0008426,ok
25000,5000,128,0,1,10,0.4336,0.426,0.445,0.0008375,ok
25000,5000,128,1,0,10,0.4183,0.410,0.423,0.0008409,ok
25000,5000,128,1,1,10,0.4355,0.426,0.447,0.0008375,ok
25000,5000,256,0,0,10,0.4268,0.417,0.434,0.0008405,ok
25000,5000,256,0,1,10,0.4043,0.392,0.428,0.0008463,ok
25000,5000,256,1,0,10,0.435,0.426,0.448,0.0008439,ok
25000,5000,256,1,1,10,0.4397,0.430,0.448,0.0008404,ok
49000,5000,128,0,0,10,0.4877,0.466,0.545,9.68e-05,ok
49000,5000,128,0,1,10,0.5015,0.479,0.536,9.66e-05,ok
49000,5000,128,1,0,10,0.4962,0.481,0.554,9.59e-05,ok
49000,5000,128,1,1,10,0.5087,0.471,0.552,9.65e-05,ok
49000,5000,256,0,0,10,0.5032,0.469,0.557,9.67e-05,ok
49000,5000,256,0,1,10,0.4917,0.463,0.541,9.67e-05,ok
49000,5000,256,1,0,10,0.4946,0.473,0.541,9.68e-05,ok
49000,5000,256,1,1,10,0.4937,0.461,0.546,9.63e-05,ok
60000,5000,128,0,0,10,0.4955,0.488,0.504,0.0008407,ok
60000,5000,128,0,1,10,0.4913,0.477,0.517,0.0008377,ok
60000,5000,128,1,0,10,0.5039,0.476,0.536,0.000842,ok
60000,5000,128,1,1,10,0.4897,0.478,0.498,0.0008426,ok
60000,5000,256,0,0,10,0.5051,0.480,0.524,0.0008404,ok
60000,5000,256,0,1,10,0.482,0.475,0.493,0.000838,ok
60000,5000,256,1,0,10,0.4949,0.489,0.503,0.0008369,ok
60000,5000,256,1,1,10,0.4909,0.475,0.516,0.0008415,ok
80000,5000,128,0,0,10,0.5827,0.568,0.595,0.0008439,ok
80000,5000,128,0,1,10,0.5771,0.565,0.592,0.000842,ok
80000,5000,128,1,0,10,0.572,0.566,0.582,0.0008448,ok
80000,5000,128,1,1,10,0.5729,0.566,0.581,0.0008462,ok
80000,5000,256,0,0,10,0.584,0.569,0.617,0.0008477,ok
80000,5000,256,0,1,10,0.5714,0.561,0.585,0.0008449,ok
80000,5000,256,1,0,10,0.573,0.562,0.586,0.0008458,ok
80000,5000,256,1,1,10,0.578,0.569,0.586,0.0008458,ok
100000,5000,128,0,0,10,0.7032,0.693,0.713,0.0001421,ok
100000,5000,128,0,1,10,0.7028,0.694,0.714,0.0001422,ok
100000,5000,128,1,0,10,0.6989,0.692,0.711,0.0001423,ok
100000,5000,128,1,1,10,0.6993,0.691,0.710,0.0001434,ok
100000,5000,256,0,0,10,0.7044,0.698,0.715,0.0001414,ok
100000,5000,256,0,1,10,0.7121,0.693,0.739,0.0001423,ok
100000,5000,256,1,0,10,0.6976,0.688,0.707,0.0001431,ok
100000,5000,256,1,1,10,0.7013,0.693,0.715,0.0001422,ok
