r_skin,max_neighbors,rebuild_interval,runs,avg_time_s,min_time_s,max_time_s,avg_change,baseline_change,avg_abs_diff,status
0.2,96,10,5,3.023080,3.022805,3.023459,0.000068600,0.000067,0.000001600,ok
0.4,96,10,0,,,,,0.000067,,overflow
0.6,96,10,0,,,,,0.000067,,overflow
0.2,96,20,5,2.016840,2.016269,2.017304,0.000068400,0.000067,0.000001400,ok
0.4,96,20,0,,,,,0.000067,,overflow
0.6,96,20,0,,,,,0.000067,,overflow
0.2,96,30,5,2.016900,2.015440,2.017804,0.000227400,0.000067,0.000160400,possibly_incorrect
0.4,96,30,0,,,,,0.000067,,overflow
0.6,96,30,0,,,,,0.000067,,overflow
0.2,128,10,5,3.023020,3.022181,3.024049,0.000067600,0.000067,0.000000600,ok
0.4,128,10,5,3.022920,3.022632,3.023221,0.000066200,0.000067,0.000000800,ok
0.6,128,10,0,,,,,0.000067,,overflow
0.2,128,20,5,2.017000,2.016528,2.017660,0.000068800,0.000067,0.000001800,ok
0.4,128,20,5,2.017000,2.016430,2.017416,0.000068400,0.000067,0.000001400,ok
0.6,128,20,0,,,,,0.000067,,overflow
0.2,128,30,5,2.017680,2.016523,2.019563,0.000227600,0.000067,0.000160600,possibly_incorrect
0.4,128,30,5,2.016900,2.016464,2.017402,0.000068600,0.000067,0.000001600,ok
0.6,128,30,0,,,,,0.000067,,overflow
0.2,192,10,5,3.023880,3.023069,3.024657,0.000065800,0.000067,0.000001200,ok
0.4,192,10,5,3.023140,3.022206,3.023904,0.000067800,0.000067,0.000000800,ok
0.6,192,10,5,4.029320,4.029198,4.029465,0.000066800,0.000067,0.000000200,ok
0.2,192,20,5,2.016820,2.016538,2.017442,0.000069000,0.000067,0.000002000,ok
0.4,192,20,5,2.017300,2.016401,2.018077,0.000067800,0.000067,0.000000800,ok
0.6,192,20,5,3.023000,3.020903,3.024060,0.000068600,0.000067,0.000001600,ok
0.2,192,30,5,2.016720,2.016427,2.017150,0.000227200,0.000067,0.000160200,possibly_incorrect
0.4,192,30,5,2.016800,2.016657,2.017075,0.000068000,0.000067,0.000001000,ok
0.6,192,30,5,2.821300,2.018070,3.023660,0.000066200,0.000067,0.000000800,ok
