n,nsteps,force_block,openmp,cuda_graphs,runs,avg_time_s,min_time_s,max_time_s,avg_change,status
10000,5000,256,0,1,10,0.3265,0.267,0.368,0.0002937,ok
50000,5000,256,0,1,10,0.4779,0.471,0.491,4.94e-05,ok
75000,5000,256,0,1,10,0.5743,0.569,0.582,0.0002661,ok
80000,5000,256,0,1,10,0.5848,0.581,0.591,0.0002634,ok
90000,5000,256,0,1,10,0.738,0.688,0.790,6.44e-05,ok
100000,5000,256,0,1,10,0.7356,0.729,0.751,6.75e-05,ok
