n,nsteps,r_skin,block_size,runs,warmup_runs,avg_time
1000,5000,0.2,32,5,3,0.302800
1000,5000,0.2,64,5,3,0.301200
1000,5000,0.2,128,5,3,0.296800
1000,5000,0.2,256,5,3,0.303800
1000,5000,0.2,512,5,3,0.307400
1000,5000,0.2,1024,5,3,0.337600
1000,5000,0.4,32,5,3,0.294800
1000,5000,0.4,64,5,3,0.291800
1000,5000,0.4,128,5,3,0.292200
1000,5000,0.4,256,5,3,0.287000
1000,5000,0.4,512,5,3,0.290400
1000,5000,0.4,1024,5,3,0.332000
1000,5000,0.6,32,5,3,0.289200
1000,5000,0.6,64,5,3,0.290400
1000,5000,0.6,128,5,3,0.289600
1000,5000,0.6,256,5,3,0.292200
1000,5000,0.6,512,5,3,0.295200
1000,5000,0.6,1024,5,3,0.329800
1000,5000,0.8,32,5,3,0.291200
1000,5000,0.8,64,5,3,0.290000
1000,5000,0.8,128,5,3,0.287000
1000,5000,0.8,256,5,3,0.294000
1000,5000,0.8,512,5,3,0.311800
1000,5000,0.8,1024,5,3,0.335400
1000,5000,1.0,32,5,3,0.315200
1000,5000,1.0,64,5,3,0.311800
1000,5000,1.0,128,5,3,0.299600
1000,5000,1.0,256,5,3,0.303800
1000,5000,1.0,512,5,3,0.321000
1000,5000,1.0,1024,5,3,0.345400
2000,5000,0.2,32,5,3,0.303200
2000,5000,0.2,64,5,3,0.303200
2000,5000,0.2,128,5,3,0.302800
2000,5000,0.2,256,5,3,0.302600
2000,5000,0.2,512,5,3,0.304200
2000,5000,0.2,1024,5,3,0.345200
2000,5000,0.4,32,5,3,0.289600
2000,5000,0.4,64,5,3,0.292200
2000,5000,0.4,128,5,3,0.295000
2000,5000,0.4,256,5,3,0.304600
2000,5000,0.4,512,5,3,0.300800
2000,5000,0.4,1024,5,3,0.336600
2000,5000,0.6,32,5,3,0.297400
2000,5000,0.6,64,5,3,0.293800
2000,5000,0.6,128,5,3,0.295800
2000,5000,0.6,256,5,3,0.296400
2000,5000,0.6,512,5,3,0.304000
2000,5000,0.6,1024,5,3,0.345000
2000,5000,0.8,32,5,3,0.308400
2000,5000,0.8,64,5,3,0.306800
2000,5000,0.8,128,5,3,0.298000
2000,5000,0.8,256,5,3,0.298400
2000,5000,0.8,512,5,3,0.326400
2000,5000,0.8,1024,5,3,0.347600
2000,5000,1.0,32,5,3,0.328000
2000,5000,1.0,64,5,3,0.321000
2000,5000,1.0,128,5,3,0.323000
2000,5000,1.0,256,5,3,0.323600
2000,5000,1.0,512,5,3,0.328800
2000,5000,1.0,1024,5,3,0.366600
4000,5000,0.2,32,5,3,0.312600
4000,5000,0.2,64,5,3,0.308600
4000,5000,0.2,128,5,3,0.313800
4000,5000,0.2,256,5,3,0.316600
4000,5000,0.2,512,5,3,0.317800
4000,5000,0.2,1024,5,3,0.356400
4000,5000,0.4,32,5,3,0.300400
4000,5000,0.4,64,5,3,0.297800
4000,5000,0.4,128,5,3,0.300400
4000,5000,0.4,256,5,3,0.303600
4000,5000,0.4,512,5,3,0.312600
4000,5000,0.4,1024,5,3,0.354800
4000,5000,0.6,32,5,3,0.310200
4000,5000,0.6,64,5,3,0.306400
4000,5000,0.6,128,5,3,0.303400
4000,5000,0.6,256,5,3,0.305800
4000,5000,0.6,512,5,3,0.324000
4000,5000,0.6,1024,5,3,0.364200
4000,5000,0.8,32,5,3,0.320000
4000,5000,0.8,64,5,3,0.315400
4000,5000,0.8,128,5,3,0.315800
4000,5000,0.8,256,5,3,0.316200
4000,5000,0.8,512,5,3,0.331800
4000,5000,0.8,1024,5,3,0.384200
4000,5000,1.0,32,5,3,0.330800
4000,5000,1.0,64,5,3,0.330400
4000,5000,1.0,128,5,3,0.328200
4000,5000,1.0,256,5,3,0.329800
4000,5000,1.0,512,5,3,0.334600
4000,5000,1.0,1024,5,3,0.384400
8000,5000,0.2,32,5,3,0.313000
8000,5000,0.2,64,5,3,0.313400
8000,5000,0.2,128,5,3,0.312200
8000,5000,0.2,256,5,3,0.314600
8000,5000,0.2,512,5,3,0.316400
8000,5000,0.2,1024,5,3,0.360600
8000,5000,0.4,32,5,3,0.303400
8000,5000,0.4,64,5,3,0.304400
8000,5000,0.4,128,5,3,0.304000
8000,5000,0.4,256,5,3,0.304200
8000,5000,0.4,512,5,3,0.317000
8000,5000,0.4,1024,5,3,0.356800
8000,5000,0.6,32,5,3,0.311800
8000,5000,0.6,64,5,3,0.311600
8000,5000,0.6,128,5,3,0.308600
8000,5000,0.6,256,5,3,0.311000
8000,5000,0.6,512,5,3,0.331600
8000,5000,0.6,1024,5,3,0.373000
8000,5000,0.8,32,5,3,0.325200
8000,5000,0.8,64,5,3,0.323800
8000,5000,0.8,128,5,3,0.322800
8000,5000,0.8,256,5,3,0.326400
8000,5000,0.8,512,5,3,0.331400
8000,5000,0.8,1024,5,3,0.389400
8000,5000,1.0,32,5,3,0.329600
8000,5000,1.0,64,5,3,0.333000
8000,5000,1.0,128,5,3,0.331400
8000,5000,1.0,256,5,3,0.329800
8000,5000,1.0,512,5,3,0.327200
8000,5000,1.0,1024,5,3,0.391400
