grid_size,cores,steps,runs,avg_time
128,1,100,5,2.562293
128,2,100,5,2.435296
128,4,100,5,2.073997
128,16,100,5,2.073157
128,32,100,5,2.195224
512,1,100,5,2.813077
512,2,100,5,2.674251
512,4,100,5,2.244816
512,16,100,5,2.140781
512,32,100,5,2.144176
1024,1,100,5,3.605543
1024,2,100,5,3.086155
1024,4,100,5,2.390829
1024,16,100,5,2.294618
1024,32,100,5,2.345049
2048,1,100,5,6.776367
2048,2,100,5,4.716185
2048,4,100,5,3.201874
2048,16,100,5,2.549639
2048,32,100,5,2.607982
4096,1,100,5,19.311254
4096,2,100,5,11.061882
4096,4,100,5,6.420943
4096,16,100,5,3.533938
4096,32,100,5,3.575390
