grid_size,cores,steps,runs,avg_time
128,1,100,5,2.763848
128,2,100,5,2.186069
128,4,100,5,1.934620
128,16,100,5,1.926288
128,32,100,5,2.026389
512,1,100,5,20.563038
512,2,100,5,11.078227
512,4,100,5,6.384521
512,16,100,5,3.227431
512,32,100,5,2.950506
1024,1,100,5,77.647790
1024,2,100,5,39.684857
1024,4,100,5,20.647722
1024,16,100,5,7.192938
1024,32,100,5,5.571935
