grid_size,cores,steps,runs,avg_time
128,1,100,5,0.950200
128,2,100,5,0.823800
128,4,100,5,0.435000
128,16,100,5,0.288600
128,32,100,5,0.256800
512,1,100,5,1.178200
512,2,100,5,1.051200
512,4,100,5,0.596200
512,16,100,5,0.364800
512,32,100,5,0.247200
1024,1,100,5,1.929800
1024,2,100,5,1.442600
1024,4,100,5,0.730600
1024,16,100,5,0.509200
1024,32,100,5,0.397600
2048,1,100,5,4.906800
2048,2,100,5,2.997200
2048,4,100,5,1.501800
2048,16,100,5,0.751200
2048,32,100,5,0.611800
4096,1,100,5,16.737400
4096,2,100,5,9.229200
4096,4,100,5,4.599600
4096,16,100,5,1.771400
4096,32,100,5,1.481400
